"supplier_name","country","city","vat_number","registration_number","supplier_code"
"TRANSFORMATEURS BC","FR","FONTENAY LE COMTE",NA,NA,"BC--50"
"ISOL APPLICATIONS","FR","BONS EN CHABLAIS",NA,"45361877900012","ISOL20"
"CEGELEC/FR+ AMEC SPIE/FR+ FENWICK/FR + SPIE NEDERLAND/NL","FR","ST GENIS POUILLY",NA,NA,"GR4S15"
"SEF STE D'ETUDES ET FABRICATIONS","FR","LABEGE (TOULOUSE)",NA,"32292671800014","SEF-50"
"SIGMAPHI S.A.","FR","VANNES",NA,"79018371900034","SIGM50"
"HAZEMEYER SA","FR","GAUCHY","13585680051","58568005100166","HAZE50"
"CERAP","FR","BEAUMONT-HAGUE",NA,NA,"CERA66"
"GARLOCK FRANCE SAS (EX CEFILAC SA )","FR","ST-ETIENNE CEDEX 1",NA,"40007299700036","GOOD04"
"INEO TROIS LACS(EX ALPES /FABRICOM(BE)/PRE-ELECTROMONTAZ(PL)","FR","SAINT GENIS POUILLY",NA,NA,"GR3S40"
"DEISTER ELECTRONIC","FR","ORSAY",NA,NA,"ELE283"
"SPIE SUD-EST","FR","SAINT GENIS POUILLY CEDEX",NA,"44005586100304","SPIE31"
"REXEL (FRANCE)","FR","ST GENIS POUILLY",NA,"30930461604250","ISNA50"
"EURO SYSTEM","FR","VARCES CEDEX",NA,"34348897900018","EURO97"
"SEMIKRON","FR","LYON CEDEX 3",NA,"78540809700034","SEMI60"
"SAUNIER DUVAL ELECTRICITE SDEL","FR","DARDILLY CEDEX",NA,NA,"SAUN50"
"INDUSTRIELLE DE CONTROLE ET D'EQUIPEMENT (ICE)","FR","ST GENIS LAVAL",NA,NA,"ICE-25"
"VICTORY","FR","SAINT-ETIENNE CEDEX 2",NA,NA,"VICT02"
"SOCIETE REGIONALE DE CONSTRUCTION FLORIOT EX SODEP","FR","NEUVILLE SUR AIN",NA,NA,"SODE02"
"AVX (FRANCE)","FR","ORSAY",NA,"38429928500039","ASAS01"
"EDWARDS S.A.","FR","GENNEVILLIERS CEDEX",NA,"37882177100128","EDWA01"
"CCM EQUIPEMENT","FR","PRINGY",NA,"39306100700034","CCM-45"
"AMEC SPIE + ZEC-SERVICE/PL","FR","ST GENIS POUILLY",NA,NA,"GR2T15"
