"supplier_name","country","city","vat_number","registration_number","supplier_code"
"INGENICA-INGENIERIE INDUSTRIELLE","FR","CHASSE-SUR-RHONE",NA,NA,"INGE22"
"ATOS S.A.","FR","CARROS CEDEX",NA,"35082778800018","ATOS50"
"INEO TROIS LACS(EX ALPES)/FABRICOM(BE)/PRE-ELECTROMONTAZ(PL)","FR","SAINT GENIS POUILLY",NA,NA,"GR3S40"
"PREZIOSO SA","FR","VIENNE CEDEX","53573680162","57368016200340","PREZ50"
"INEO GDF SUEZ + AXIMA SISTEMAS E INSTALACIONES S.A ESPAG","FR","SAINT GENIS POUILLY",NA,NA,"GR2T66"
"CONSORTIUM ASSYSTEMS - INBIS","FR","PARIS",NA,NA,"GR2T60"
"HYPER TECHNOLOGIES","FR","LES CLAYES SOUS BOIS",NA,NA,"HYPE04"
"COVIMAG","FR","BRIVE CEDEX",NA,"39955947500021","COVI01"
"LM LUDOVIC MARTIN","FR","CESSY",NA,"40083491700025","LM--02"
"DISTRAME SA (EX FRANCAISE D'INSTRUMENTATION )","FR","SAINTE SAVINE","03380194019","38019401900077","FRAN50"
"THALES INDUSTRIAL SERVICES","FR","VELIZY VILLACOUBLAY CEDEX",NA,"34072362600065","THAL02"
"CONVERTEAM SAS","FR","BELFORT",NA,"48121369200082","CONV05"
"INEO TROIS LACS (FR) - BRICOM (BE) - PRE-ELECTROMONTAZ (PL)","FR","SAINT GENIS POUILLY",NA,NA,"GR3S40"
"NALCO FRANCE  (EXONDEO NALCO FRANCE  EX NALCO FRANCE S.A.S.)","FR","WASQUEHAL CEDEX",NA,"41494668100023","NALC01"
"INEO GDF SUEZ + AXIMA SISTEMAS E INSTALACIONES SA ESPAG","FR","SAINT GENIS POUILLY",NA,NA,"GR2T66"
"ALGECO SA DIRECTION REGIONALE SUD-EST","FR","MEYZIEU CEDEX",NA,NA,"ALGE75"
"AVX (FRANCE) - AVX CORPORATION","FR","ORSAY",NA,"38429928500039","ASAS01"
"IDIL FIBRES OPTIQUES","FR","LANNION",NA,NA,"IFO-01"
"PMB METACERAM TECHNOLOGIES","FR","PEYNIER",NA,NA,"TEC379"
"POISSON (FRANCE)","FR","PRINGY",NA,"31968826300031","POIS01"
"THALES (FRANCE)","FR","VELIZY VILLACOUBLAY CEDEX",NA,"34072362600065","THAL02"
"CETAL SA","FR","HAGUENAU CEDEX",NA,"68850023000018","CETA01"
"POLYTEC FRANCE SAS","FR","CHATILLON CEDEX","13326557840","32655784000054","POLY04"
"THERMOCOAX INTERNATIONAL","FR","ATHIS DE L ORNE",NA,"32345992500026","THER71"
"SISO SA","FR","VAULX EN VELIN",NA,"41049052800024","SISO50"
"CEGELEC ENERGIE CENTRE-EST (ACTEMIUM)","FR","ST GENIS POUILLY","83537915787","53791578700031","CEGE55"
"CONTROL A.J.C. INTERNATIONAL","FR","MARANGE SILVANGE",NA,NA,"CONT67"
"CT PLATON S.A.","FR","DOMONT","45439195447",NA,"PLAT15"
"CCID SARL","FR","LYON",NA,NA,"CCID50"
"ARTEC INDUSTRIES ""W"" -> RTA-01","FR","CHATEAU GONTIER",NA,NA,"ARTE62"
"CERCA","FR","PIERRELATTE CEDEX",NA,"57220543300095","CERC50"
"SGS QUALITEST","FR","PARIS CEDEX 01",NA,NA,"SGSQ50"
"B & S INTERNATIONAL FRANCE SARL","FR","ST GENIS POUILLY",NA,NA,"BS--75"
"SPIE-TRINDEL","FR","SAINT GENIS POUILLY CEDEX",NA,"44005586100304","SPIE31"
"ANSALDO S.P.A.","FR","ST GENIS POUILLY",NA,NA,"GR4S02"
"METAREG","FR","ST.GENIS-POUILLY CEDEX",NA,NA,"META56"
"MICROWARE SYSTEMS FRANCE","FR","MEYREUIL",NA,NA,"MICR38"
"BONITEMPO SA","FR","CALUIRE",NA,"95650936800034","BONI75"
"HYPERTECH S.A.","FR","EVRY CEDEX",NA,NA,"HYPE45"
"JEHIER SA","FR","CHEMILLE",NA,"06420002500019","JEHI50"
"THOMSON CSF","FR","PARIS CEDEX 08",NA,NA,"THOM45"
"CEGELEC","FR","ST GENIS POUILLY","83537915787","53791578700031","CEGE55"
"SGTE TRAVAUX ELECTRIQUES","FR","ST GENIS POUILLY",NA,NA,"SGTE50"
"GEC ALSTHOM","FR","ORLEANS CEDEX 1",NA,NA,"GEC-05"
"G.E.I.E GEMATEC (ELYO, SCHMEINK-COFR., DELATTRE-L., BELLELI)","FR","ST GENIS POUILLY",NA,NA,"GR4S03"
"ANSALDO-SPIE-SDEL-CLEMESSY","FR","ST GENIS POUILLY",NA,NA,"GR4S02"
"MIDI INGENIERIE","FR","LABEGE CEDEX",NA,NA,"MIDI50"
"JEAN-LUC RULLIER","FR","LE BARP",NA,NA,"RULL01"
"FOGALE NANOTECH","FR","NIMES",NA,"32788000100059","FOGA25"
"PULSE MC2","FR","EVRY CEDEX",NA,"41047873900031","PULS01"
"CESTA","FR","LE BARP",NA,NA,"CEST40"
"CABURN-MDC-FRANCE","FR","LYON",NA,"39462471200029","CABU54"
"CHEVAL FRERES","FR","BESANCON CEDEX",NA,NA,"CHEV35"
"SIPMA SA","FR","PASSY",NA,NA,"SIPM50"
"S.A.U.STE AUTONOME D'USINAGE","FR","LONGJUMEAU",NA,NA,"SAU-01"
"SALIES SA","FR","VILLEBON SUR YVETTE CEDEX",NA,NA,"SALI30"
"THOMSON CSF *** voir THAL02 info firm ***","FR","PARIS CEDEX 08",NA,NA,"THOM45"
"CNRS","FR","ORSAY CERDEX",NA,NA,"CNRS50"
"SGS FRANCE","FR","PARIS CEDEX 01",NA,NA,"SGSQ50"
"SAGEM (STE D'APPLICATIONS GEN. D'ELECTRICITE & DE MECANIQUE)","FR","MALAKOFF CEDEX",NA,NA,"SAGE50"
"SGS QUALITEST, SGS GOTTFELD, LOGITEST, SPIE-TRINDEL","FR","ORSAY",NA,NA,"GR4S01"
"AMSE (FR)/ FABRICOM SA (BE)/ PRE-ELECTROMONTAZ (PL)","FR","SAINT GENIS POUILLY",NA,NA,"GR3S40"
"DELTA OHM","FR","BOIS COLOMBES",NA,NA,"DELT83"
"HYPER INDUSTRIE","FR","PLAISIR",NA,NA,"HYPE05"
"SAINT-GOBAIN DESMARQUEST S.A.","FR","EVREUX CEDEX",NA,NA,"DESM25"
"ALIMTRONIC","FR","COURTABOEUF",NA,NA,"ALIM50"
"INEO ALPES(EXAMSE) / FABRICOM SA (BE)/ PRE-ELECTROMONTAZ(PL)","FR","SAINT GENIS POUILLY",NA,NA,"GR3S40"
"ENDEL/FR + AXIMA/BE + GTI/NL","FR","SAINT GENIS POUILLY",NA,NA,"GR3S49"
"PLASMION","FR","VILLEJUIF CEDEX",NA,NA,"PLAS10"
"CABURN-MDC SARL","FR","LYON",NA,"39462471200029","CABU54"
"SALIES  - CHELTON GROUP","FR","VILLEBON SUR YVETTE CEDEX",NA,NA,"SALI30"
"GARLOCK FRANCE SAS (EX CEFILAC SA  (EX GOODRICH CEFILAC))","FR","ST-ETIENNE CEDEX 1",NA,"40007299700036","GOOD04"
"SPIE SUD EST/F-CONTROLMATIC/DE","FR","ST GENIS POUILLY",NA,NA,"GR2S68"
"CICERON","FR","ST ALBAN-DE-ROCHE",NA,NA,"CICE01"
"D'HUART INDUSTRIE SA","FR","MARSEILLE",NA,"38288332000014","DHUA01"
"VEECO SA","FR","DOURDAN",NA,NA,"VEEC50"
"ECRIN SYSTEMS ( EX ECRIN AUTOMATISMES SA)","FR","CROLLES",NA,"32984418700107","ECRI50"
"MONTESSUIT & FILS SA","FR","GAILLARD",NA,"79638030100021","MONT93"
"MECACHROME","FR","AUBIGNY SUR NERE","64429853351","42985335100055","MECA28"
"MICROPIERRE","FR","BESANCON",NA,"55282055700031","MICR75"
"ABB ENTRELEC (EX:ABB SPIE TABLEAUX)","FR","ILLKIRCH CEDEX",NA,NA,"ABB-71"
"C.T.D.E.C.","FR","CLUSES CEDEX",NA,"77656104500019","CTDE01"
"ELEXO","FR","BOULOGNE",NA,NA,"ELEX02"
"ENFRASYS SAS (EX ACTEMIUM(EX:EGTIE COMPAGNIE GEN TRAVAUX","FR","RILLIEUX LA PAPE",NA,NA,"GTIE50"
"ASSYSTEM FRANCE - SAPHYMO GMBH","FR","ST QUENTIN EN YVELINES CEDEX",NA,NA,"GR2T40"
"MULLER-BBM VIBROAKUSTIK SYSTEME","FR","CERGY-PONTOISE CEDEX",NA,"41109339600058","MBV-01"
"ABMT","FR","VILLAZ",NA,"69678042800392","ABMT50"
"ETS HYDRAUMECA","FR","CHASSIEU CEDEX",NA,NA,"HYDR22"
"GROUPE S.R.F. (SYNERGIE RECHERCHES FUTURES)","FR","LISIEUX",NA,NA,"GROU04"
"WESTINGHOUSE EUROPE","FR","LA VARENNE ST HILAIRE",NA,NA,"WEST80"
"LE CARBONE-LORRAINE","FR","PARIS LA DEFENSE CEDEX",NA,"57206033300224","CARB62"
"L'AIR LIQUIDE","FR","CHAMPIGNY SUR MARNE","81552096281","31411950401002","LAIR50"
"AIR LIQUIDE","FR","CHAMPIGNY SUR MARNE","81552096281","31411950401002","LAIR50"
"TECHNIX","FR","CRETEIL","08431310531","43131053100048","TEC-81"
"TRANSRAIL B&V SAS","FR","VAULX EN VLIN",NA,"44457920500022","TRA-38"
"SCHROFF (FRANCE)","FR","BETSCHDORF",NA,"31685455300013","SCHR87"
"ARCEL","FR","CHAMPAGNE AU MONT D OR",NA,"97250589500045","ARCE50"
"SEF - SOCIETE ETUDE & FABRICATION","FR","LABEGE (TOULOUSE)",NA,"32292671800014","SEF-50"
"CERAQUEST","FR","LES CLAYES SOUS BOIS",NA,"75134682600025","CERA14"
"MKS INSTRUMENTS FRANCE","FR","LE BOURGET CEDEX",NA,NA,"MKS-50"
"PHOTONIS FRANCE S.A.S","FR","BRIVE CEDEX","74383300597","38330059700010","PHOT07"
"ALDIANCE","FR","CLUSES CEDEX",NA,"32516657700123","DIMA25"
"PREZIOSO (PREZIOSO TECHNILOR)(FRANCE)","FR","VIENNE CEDEX","53573680162","57368016200340","PREZ50"
"BERGOZ INSTRUMENTATION","FR","ST GENIS POUILLY",NA,"41499713000029","BERG87"
"CRYO DIFFUSION","FR","LERY",NA,"33422503400019","CRYO25"
"SILICA","FR","MASSY CEDEX",NA,"55207601000362","AVNE50"
"YVES COUGNAUD","FR","LA ROCHE SUR YON CEDEX","84310601687","31060168700026","COUG01"
"ALGECO","FR","MEYZIEU CEDEX",NA,NA,"ALGE75"
"INEO GDF SUEZ (FR) + AXIMA SISTEMAS E INSTALACIONES SA (ES)","FR","SAINT GENIS POUILLY",NA,NA,"GR2T66"
"INEO GDF SUEZ (FR) - AXIMA SISTEMAS E INSTALACIONES (ES)","FR","SAINT GENIS POUILLY",NA,NA,"GR2T66"
"CEGELEC - GTM - SAVEC (JOINT VENTURE)","FR","SAINT GENIS POUILLY",NA,NA,"GR3S62"
"PAPETERIE DES BALMETTES - PLEIN CIEL ANNECY","FR","SEYNOD",NA,"33056769400063","PDB-01"
"CEGELEC ENERGIE CENTRE EST (FR) - GTM - SAVEC","FR","SAINT GENIS POUILLY",NA,NA,"GR3S62"
"CABINET D'ARCHITECTURE PAUCOD SARL EX  (SARR PAUCOD-J ARGAUD","FR","FERNEY VOLTAIRE",NA,"35356210100017","PAUC01"
"TV 8 MONT BLANC (T2S)","FR","SEVRIER",NA,"42283287300018","TV--50"
"AUSY S.A.","FR","TASSIN LA DEMI LUNE",NA,NA,"AUSY01"
"SERGE ROY","FR","FERNEY VOLTAIRE CEDEX",NA,NA,"ROY-01"
"SRC INFORMATIQUE S.ROY","FR","FERNEY VOLTAIRE",NA,NA,"SRC-03"
"SRC INFORMATIQUE","FR","FERNEY VOLTAIRE",NA,NA,"SRC-03"
"INFERENCE","FR","CHAMALIERES","42316393834","31639383400064","INFE50"
"ANDREW BRANSON","FR","ST GENIS POUILLY",NA,NA,"BRAN03"
"ALTECA","FR","LYON",NA,NA,"ALTE07"
"QUALIAC (ex INFERENCE)","FR","CHAMALIERES","42316393834","31639383400064","INFE50"
"MR BENOIT GARRIGUES","FR","FEIGERES",NA,NA,"GARR02"
"COMPAGNIE GENERALE DES PLASTIQUES","FR","SAINT CHAMOND",NA,"41038675900022","PLAS19"
"ALSTOM S.A.","FR","ST JEAN DE BRAYE",NA,"38905844700043","ALST88"
"VELAN S.A.S","FR","LYON 7","84350811097","35081109700020","VELA02"
"GROUPE SETAM (STOCKALP VPC)","FR","ANNEMASSE CEDEX",NA,"30245608200056","SETA01"
"PHM CONSULTANT SARL","FR","ANZIN SAINT AUBIN",NA,NA,"PHM-01"
"MIL'S","FR","GENAS",NA,NA,"MILS01"
"BILLET FOURNIER SA","FR","MEYTHET",NA,"33996446200040","BILL50"
"DAUPHELEC","FR","SEYSSINET PARISET",NA,NA,"DAUP35"
"CONSORTIUM REEL SAS + ALTEAD SAS","FR","SAINT GENIS POUILLY",NA,NA,"GR2T65"
"CEGELEC - GTM - SAVEC","FR","SAINT GENIS POUILLY",NA,NA,"GR3S62"
"GEXFIS FOURNITURES INDUSTRIELLES","FR","SAINT GENIS POUILLY",NA,NA,"GGF-02"
"STIC EQUIPEMENTS D'ATELIERS","FR","OULLINS CEDEX",NA,"48764767900017","SED-03"
"FRANCE ETUVES","FR","CHELLES",NA,NA,"FRAN49"
"BALBINOT SA","FR","BELLEGARDE SUR VALSERINE",NA,"35168420400040","BALB01"
"SPIE SUD EST/FR - PHILIPS PROJECTS","FR","ST GENIS-POUILLY CEDEX",NA,NA,"GR2S15"
"SOMEX S.A.S.","FR","ENSISHEIM",NA,NA,"SOME06"
"CERCLIM","FR","PRINGY",NA,"44969797800020","CERC01"
"SENSEL MEASUREMENTS","FR","VINCENNES",NA,"50227790800013","SENS13"
"EUROTHERM AUTOMATION","FR","DARDILLY CEDEX","07642042287","64204228700093","EURO84"
"FROID-SEICAR","FR","MEYTHET","53300794427","30079442700017","SEIC75"
"CERAP FR& CERAP UK","FR","BAGNOLS SUR CEZE",NA,NA,"GR2T71"
"GEXFIS - GEX FOURNITURES INDUSTRIELLES","FR","SAINT GENIS POUILLY",NA,NA,"GGF-02"
"IEC (IMAGER - EQUIPER - CONNECTER)","FR","RENNES CEDEX",NA,"35009370400285","IEC-01"
"CEGELEC ENERGIE CENTRE-EST","FR","ST GENIS POUILLY","83537915787","53791578700031","CEGE55"
"CEGELEC ENERGIE CENTRE EST (VINCI GROUP)","FR","ST GENIS POUILLY","83537915787","53791578700031","CEGE55"
"SITUB SA","FR","VITROLLES CEDEX",NA,NA,"SITU50"
"DEVILLE FRERES","FR","COLLONGES-FORT-L'ECLUSE",NA,NA,"DEVI50"
"ETS JEAN MORICE","FR","MESSAC",NA,NA,"MORI01"
"TRANE","FR","GOLBEY CEDEX",NA,"30605018800011","TRAN48"
"J. ZIGLIOTTO SA","FR","SAINT GENIS POUILLY CEDEX",NA,NA,"ZIGL50"
"DEGREMONT ERPAC","FR","RUEIL MALMAISON",NA,NA,"DEGR50"
"DALKIA (FR) - SPIE SUD EST (FR) CONSORTIUM","FR","LYON",NA,NA,"GR2T74"
"PREZIOSO LINJEBYGG","FR","VIENNE CEDEX","53573680162","57368016200340","PREZ50"
"CONSORTIUM SETIS-SINTEGRA-MAP GEOMATIQUE","FR","GRENOBLE",NA,NA,"GR3S70"
"CNB ELECTRONIQUE SA","FR","MAMIROLLE","88319947412","31994741200049","CNB-01"
"PREMIUM ANALYSE","FR","ORROY LE VENEUR",NA,"41497933600024","PREM11"
"MICRO CONTROLE SPECTRA-PHYSICS (NEWPORT CORP.)","FR","EVRY CEDEX 91","15382697399","38269739900071","MICR25"
"ASSYSTEM (FRANCE)","FR","SAINT GENIS POUILLY",NA,"44415916400151","ASI-01"
"HAZEMEYER","FR","GAUCHY","13585680051","58568005100166","HAZE50"
"ACTEMIUM NDT P&S","FR","ST GENIS POUILLY","83537915787","53791578700031","CEGE55"
"DIGIT CONCEPT","FR","SECQUEVILLE EN BESSIN",NA,NA,"DIGI08"
"CANBERRA ELECTRONIQUE","FR","ST QUENTIN YVELINES CEDEX",NA,"38444977300140","CANB02"
"ADANCE","FR","GEX","27404761314",NA,"ADAN02"
"TEMIC FRANCE SNC","FR","ST QUENTIN EN YVELINES",NA,NA,"TEMI02"
"I.S.N. (INST.SCIENCES NUCLEAIR.)","FR","GRENOBLE CEDEX",NA,NA,"ISN-50"
"EURODIS","FR","VILLEJUIF CEDEX",NA,NA,"EURO79"
"UNIVERSITE MONTPELLIER II - CNRS","FR","MONTPELLIER CEDEX 05",NA,NA,"GR2S27"
"ADANCE SARL","FR","GEX","27404761314",NA,"ADAN02"
"C4I CENTRE CIRCUITS INTEGRES","FR","ARCHAMPS",NA,NA,"CQUA01"
"SODIFLUX","FR","CHAUSSY",NA,"309 662 757 00025","SODI05"
"VSYSTEMS S.A.","FR","MONTIGNY LE BRETONNEUX",NA,NA,"VSYS50"
"CED","FR","COLLONGES SOUS SALEVE",NA,NA,"CED-05"
"CADENCE DESIGN SYSTEMS","FR","VELIZY VILLACOUBLAY",NA,"32920052100030","CADE01"
"IMS EUROPE (INTEGRATED MESUREMENT SYSTEMS)","FR","MEYLAN",NA,NA,"IMS-02"
"B.S.E.","FR","EVREUX","11390721561","39072156100020","BSE-01"
"EQUIPEMENTS SCIENTIFIQUES","FR","GARCHES",NA,"35357963400018","EQUI62"
"FARNELL (NEWARK)","FR","LIMONEST CEDEX",NA,"388 245 029 00086","FARN45"
"LV2I","FR","VILLEBON SUR YVETTE",NA,"45373973200023","LV--01"
"CTS CLIMATIQUE & THERMIQUE SERVICE","FR","AURIOL",NA,NA,"CTS-01"
"AMEC SPIE/F-CONTROLMATIC/DE","FR","ST GENIS POUILLY",NA,NA,"GR2S68"
"CINERG S.A.","FR","ARCHAMPS",NA,NA,"CINE60"
"COFRATHERM S.A. -> VOIR IDEX02","FR","ANNECY",NA,NA,"COFR01"
"SERMA S.A.","FR","VIRIAT CEDEX",NA,NA,"SERM03"
"HYDROFORAGE SA","FR","VIRIEU LE GRAND",NA,NA,"HYDR02"
"INEO ALPE(EXAMSE) / FABRICOM SA (BE)/ PRE-ELECTROMONTAZ (PL)","FR","SAINT GENIS POUILLY",NA,NA,"GR3S40"
"SOCOTEC","FR","BOURG EN BRESSE",NA,"54201665400882","SOCO07"
"SCHNEIDER ELECTRIC  (FRANCE)","FR","PRINGY",NA,"42110670900833","SCHN06"
"DALKIA (FRANCE)","FR","LYON",NA,"45650053701412","DALK01"
"DESIGN BY PERSPECTIVES","FR","MITRY MORY",NA,NA,"DBP-01"
"GOJON TRAVAUX PUBLICS","FR","MUSIEGES",NA,"43540851300040","GOJO01"
"SOGEDEC - ONET TECHNOLOGIES (ONET GROUP) COMPANY","FR","SAINT PAUL LEZ DURANCE",NA,NA,"SOGE10"
"CEM LOC","FR","SAINT PAULYENNE",NA,NA,"CEM-08"
"ID CONCEPT R&D","FR","JUVISY SUR ORGE",NA,"49286665200026","ICRD01"
"ALTIUS","FR","POISY","19411801442","41180144200020","ALTI02"
"LOXAM RENTAL (FRANCE) - A LOXAM COMPANY","FR","SAINT-GENIS POUILLY",NA,"45077696801344","LOXA01"
"RECORD PORTES AUTOMATIQUES","FR","VOGLANS",NA,"39902465200147","RPA-02"
"GOJON TRAVAUX PUBLICS","FR","MUSIEGES",NA,"43540851300040","GTP-01"
"SCHNEIDER ELECTRIC FRANCE ( EX GROUPE SCHNEIDER)","FR","PRINGY",NA,"42110670900833","SCHN06"
"A.S. CO ELECTRONIQUE","FR","CHAVILLE",NA,"34323716000043","CO--01"
"AVNET EMG FRANCE (SILICA - AVNET/ABACUS, /MEMEC, /EMBEDDED)","FR","MASSY CEDEX",NA,"55207601000362","AVNE50"
"AVNET EMG - SILICA (FRANCE)","FR","MASSY CEDEX",NA,"55207601000362","AVNE50"
"AG CONCEPT","FR","ECHIROLLES",NA,NA,"CONC23"
"DELTA ARCHITECTES - ASS ARCHITECTES ASSOCIS","FR","USINENS",NA,NA,"GR2T97"
"SOCIETE BEJEAN","FR","COURLANS",NA,NA,"BEJE50"
"LOCABRI","FR","BRIGNAIS",NA,"30445316000026","LOCA02"
"SOCIETE REXEL ( EX  ISNARD)","FR","ST GENIS POUILLY",NA,"30930461604250","ISNA50"
"FLUITEC","FR","OYONNAX",NA,"34468760300094","FLUI11"
"3 ERP ELECTRICITE","FR","PIERRELATTE","66APE4321A",NA,"ERPE01"
"VCF","FR","PIERRELATTE",NA,"41182174700036","VCF-02"
"LOCABRI & ICARE INDUSTRIES (A LOCABRI DEPARTMENT)","FR","BRIGNAIS",NA,"30445316000026","LOCA02"
"ELECTRO TABLEAUX","FR","VETRAZ MONTHOUX",NA,"79708069400038","ELEC83"
"FRANKEL","FR","MORANGIS CEDEX","53775703614","77570361400062","FRAN95"
"CERAP (FR) - CERAP (UK) GROUPEMENT","FR","BAGNOLS SUR CEZE",NA,NA,"GR2T71"
"SPIE IMISA/SPIE SUD EST","FR","ST GENIS POUILLY",NA,NA,"GR2T62"
"SOTEB NATIONAL ELEKTRO","FR","SEYNOD",NA,"33750525900024","SOTE20"
"ACCARY LECHNER INDUSTRIE","FR","CHENNEVIERES SUR MARNE",NA,NA,"ACCA01"
"RATIONAL","FR","MONTIGNY LES BRETONNEUX",NA,NA,"RATI50"
"ETABLISSEMENTS PERRIN","FR","CRAN GEVRIER","2938458301","38458301900029","PERR30"
"DELATTRE LEVIVIER","FR","NANTERRE CEDEX",NA,NA,"DELA62"
"BROOK HANSEN S.A.","FR","RAON L'ETAPE",NA,NA,"BROO01"
"LETI","FR","GRENOBLE CEDEX",NA,NA,"LETI50"
"ALCATEL","FR","VELIZY VILLACOUBLAY CEDEX",NA,"48763109500030","ALCA68"
"SDMS SOCIETE DAUPHINOISE MECANO-SOUDAGE","FR","ST ROMANS",NA,"50874814200025","SDMS50"
"MGE-UPS SYSTEMS","FR","SAINT PRIEST","73444643720","44464372000238","MGE-01"
"LANDIS & STAEFA S.A.","FR","ECHIROLLES",NA,NA,"LAND50"
"CEFILAC FARGERE INDUSTRIE","FR","ST ETIENNE CEDEX",NA,NA,"CEFI63"
"CALORSTAT INDUSTRIES","FR","DOURDAN CEDEX",NA,NA,"CALO90"
"TECNOMATIX","FR","JOUY EN JOSAS CEDEX",NA,NA,"TECN07"
"MICRODATA INFORMATIQUE","FR","FERNEY VOLTAIRE",NA,NA,"MICR113"
"ANCO INGENIERIE","FR","VENISSIEUX",NA,NA,"ANCO02"
"MATRA FRANCE","FR","LACROIX-SAINT-OUEN",NA,"31493783000060","MATR05"
"ADAPCO-FRANCE","FR","PARIS LA DEFENSE",NA,NA,"ADAP02"
"CEA COMMISSARIAT A L'ENERGIE ATOMIQUE","FR","PARIS CEDEX 15",NA,NA,"CEA-20"
"SETE","FR","ISSY LES MOULINEAUX CEDEX",NA,NA,"SETE15"
"ATEMI SARL","FR","ECULLY",NA,NA,"ATEM75"
"CORETECH INTERNATIONAL","FR","MARSEILLE",NA,NA,"CORE80"
"CD-ADAPCO FRANCE","FR","BOBIGNY","49398948661",NA,"CD--02"
"ANCO INGENIERIE - CRIL TECHNOLOGY SIMULATION","FR","VENISSIEUX",NA,NA,"ANCO02"
"ANCO INGENIERIE-GROUP CRIL TECHNOLOGY","FR","VENISSIEUX",NA,NA,"ANCO02"
"SODERN","FR","LIMEIL BREVANNES CEDEX","91572089795",NA,"SODE03"
"CEGELEC (FR) - CEGELEC IBERICA","FR","ST GENIS POUILLY",NA,NA,"GR2S19"
"ARCADIS","FR","VILLEURBANNE CEDEX",NA,"40150379200384","ARCA09"
"ENTREPRISE PIANI","FR","ANSE",NA,NA,"PIAN02"
"VACHETTA PIERRE","FR","GEX",NA,"41402303600018","VACH01"
"CETE APAVE SUDEUROPE","FR","TASSIN LA DEMI LUNE CEDEX",NA,"51872092500040","APAV50"
"J.B.T MACONNERIE (EX TICOZZI JEAN)","FR","FERNEY VOLTAIRE",NA,NA,"TICO01"
"DROUOT SA","FR","BRIGNAIS",NA,NA,"DROU03"
"SMAC ACIEROID","FR","VAULX EN VELIN CEDEX",NA,"68204083700283","SMAC50"
"CHEVALIER GIROD SARL","FR","LES ROUSSES",NA,NA,"CHEV04"
"M.C.P. SA","FR","ANNECY-LE-VIEUX",NA,NA,"MCP-40"
"AMEC SPIE + ELECTRON","FR","SAINT GENIS POUILLY",NA,NA,"GR2T37"
"ANEP S.A. (APPLIC.NOUVELLES DE L'ELECTRON.PROFESSIONNELLE)","FR","BOISSY ST LEGER",NA,"31601514800018","ANEP01"
"ESPACE BUREAUTIQUE INFORMATIQUE","FR","GEX",NA,"48800020900012","ESPA75"
"OPTELECOM-NKF SAS","FR","PARIS",NA,NA,"ONS-01"
"GERLAND SAVOIE-LEMAN","FR","BELLEGARDE",NA,NA,"GERL50"
"ENDEL NUCLEAIRE SCTN","FR","AVOINE",NA,"43827703000112","SCTN01"
"CHALLENGE LEARNING","FR","GEX",NA,"40083047700024","CHAL02"
"UNESCO","FR","PARIS 07 SP",NA,"ORGANISATION","EDIT91"
"LUNCH SERVICE ANNECIEN","FR","METZ TESSY",NA,NA,"LUNC01"
"GL EVENTS","FR","PARIS",NA,"38055297600074","GEE-01"
"UNESCO","FR","PARIS",NA,"77566578900019","EDIT38"
"BARRIQUAND","FR","ROANNE",NA,"35296077700014","BARR12"
"SOLYRO - SOCIETE LYONNAISE DE ROBINETTERIE","FR","DECINES CHARPIEU CEDEX",NA,"31413618500035","SOLY50"
