"supplier_name","country","city","vat_number","registration_number","supplier_code"
"ETRONICS (FRANCE)","FR","ST GERMAIN EN LAYE","56315382937","31538293700029","ETRO01"
"CEIHP","FR","ANNEMASSE",NA,"44123281600021","CEIH01"
"T.S.A. (TECHNOLOGIES ET SYSTEMES D'AUTOMATISATION)","FR","TAVERNY CEDEX",NA,"33966046600022","TSA-01"
"ELCOM","FR","BOURGOIN JALLIEU",NA,"34027657500040","ELCO01"
"BRONKHORST FRANCE","FR","MONTIGNY LES CORMEILLES",NA,"35271482800014","INS-03"
"CNRS - ILE DE FRANCE","FR","GIF SUR YVETTE",NA,"18008901304827","CIF-01"
"QUALITY SOURCE - GROUPE CHROMATEX","FR","GUYANCOURT","80399432863","43950340000020","QUAL11"
"THK FRANCE","FR","CHAMPAGNE AU MONT D'OR",NA,"44337487100020","THK-01"
"COORSTEK (FRANCE)","FR","EVREUX CEDEX","7644031612","44031684200036","COOR05"
"TRANSRAIL BOIGE & VIGNAL","FR","VAULX EN VLIN",NA,"44457920500022","TRA-38"
"PMB (ALCEN GROUP)","FR","PEYNIER",NA,"41933220000031","META06"
"ENDEL(EX DELATTRE  LEVIVIER)","FR","COLOMBES CEDEX",NA,NA,"ENDE04"
"BIANCO ET CIE","FR","BELLEGARDE SUR VALSERINE",NA,NA,"BIAN25"
"AIRBUS SAFRAN LAUNCHERS SAS","FR","ISSY LES MOULINEAUX","8251903224",NA,"SAFR03"
"RICHARDSON ELECTRONICS (FRANCE)","FR","NANTERRE CEDEX",NA,"38965611700030","RICH77"
"DEDIENNE MULTIPLASTURGY","FR","CLAMART","66775723083","77572308300041","DEDI01"
"VCF TP  EX: GTM TP LYON","FR","BRON CEDEX",NA,NA,"GTM-05"
"IDEE CLIM","FR","BELLEGARDE SUR VALSERINE",NA,NA,"IDEE01"
"SCITA","FR","SAINT ALBAN LEYSSE",NA,"43451832000016","SCIT01"
"SEF - SOCIETE ETUDE & FABRICATION POUR RECHERCHE & INDUSTRIE","FR","LABEGE (TOULOUSE)",NA,"32292671800014","SEF-50"
"HIGH TECH CERAM","FR","NEMOURS CEDEX","53907350656","90735065600035","FRIA51"
"GARROT-CHAILLAC","FR","PEROLS CEDEX",NA,"31038081100086","GARR05"
"LAPP MULLER","FR","GRIMAUD",NA,"44846467700013","MULL12"
"DIB PRODUCTION","FR","CHENOVE",NA,"35316910500015","DIB-01"
"KALRAY","FR","MONTBONNOT","95507620557","507620557 RCS EVRY","KALR01"
"ABS ALTO","FR","GRENOBLE CEDEX 2","543913019910",NA,"ABS-01"
"SET LEGO","FR","MARSEILLE",NA,NA,"SET-07"
"G.R.C. TEC INDUSTRIE","FR","SAINT HELENE DU LAC",NA,NA,"GRC-01"
"TOUCH AND STORE FRANCE","FR","MARSEILLE CEDEX 13",NA,"52929222900018","TAS-02"
"TECHNOMETAL - GUIDAGE LINEAIRE","FR","TREMBLAY EN FRANCE CEDEX",NA,"39088551500036","TECH71"
"ELETTA INSTRUMENTATION SAS","FR","CUSSET","56514786904","51478690400011","INS200"
"OTND - ONET TECHNOLOGIES NUCLEAR","FR","ST GENIS POUILLY",NA,"45132750600031","ONET50"
"ERIKS SAS","FR","COIGNIERES",NA,"71204329800033","ERIK04"
"SAPHYMO (FRANCE)","FR","SAINT-QUENTIN-EN-YVELINES","81562088930","56208893000127","SAPH75"
"HYDRETUDES","FR","ARGONAY",NA,"37992646200092","HYDR45"
"ESPACE CONCEPT","FR","CHALEZEULE",NA,"42286855400029","ESPA21"
"EUROP'TOURS","FR","DIVONNE LES BAINS",NA,"43497631200018","EUR100"
"LES CHAPITEAUX DE PARIS","FR","FONTENAY TRESIGNY",NA,"35359053200019","CHAP10"
"CPCOM EUROPE SARL (EX CP.COM / PROMOCADEAUX)","FR","NIEVROZ",NA,"49337573700019","CCP-02"
"KILOUTOU","FR","ANNEMASSE",NA,"31768606101546","KILO01"
"ATC ALPES","FR","CRAN GEVRIER",NA,"44157772300014","ATC-04"
"PROLIVE","FR","SAINT GENIS POUILLY",NA,"51935179500017","PROL06"
"WIKA-DIMO SARL","FR","DAMMARIE-LES-LYS",NA,NA,"WIKA04"
"EMV FRANCE","FR","GENNEVILLIERS",NA,"37942652100033","EMV-02"
"TEKTRONIX","FR","LES ULIS CEDEX",NA,NA,"TEKT25"
"DISTRAME SA )","FR","SAINTE SAVINE","03380194019","38019401900077","FRAN50"
"RS COMPONENTS (FRANCE) - RADIOSPARES","FR","BEAUVAIS CEDEX","68334534039","33453403900030","RADI91"
"SRA INSTRUMENTS SARL","FR","MARCY L'ETOILE","40342068731","34206873100039","INS136"
"NOVAPACK TECHNOLOGIES SARL","FR","SAINT EGREVE",NA,NA,"NOVA40"
"TECHNI-PRIM SARL","FR","LA TREMBLADE","75383839594","38383959400041","TEC595"
"PLURITEC FRANCE","FR","STAINS",NA,"33050326900038","PLUR45"
"MINERAIS DE LA MEDITERRANEE","FR","BALARUC-LES-BAINS","22306771783","30677178300025","MINE04"
"MANUDAX FRANCE SA","FR","MAISONS ALFORT CEDEX","80612042119","61204211900042","MANU03"
"EOLANE (FRANCE)","FR","SAINT AGREVE",NA,"38497955500016","ARDE02"
"SAMIFI FRANCE","FR","CROISILLES",NA,"52074309700039","SAMI02"
"GE MEASUREMENT et CONTROL SAS","FR","LIMONEST",NA,"45040278900025","TEC112"
"PLDA (PLD APPLICATIONS)","FR","AIX EN PROVENCE",NA,"03 407 666 650","PLD-01"
"ROCKWOOD WAFER RECLAIM","FR","GREASQUE",NA,"50018807300026","RWR-01"
"POLY DISPENSING SYSTEMS - PDS","FR","MESNIL LE ROI",NA,NA,"PDS-03"
"ISP - INTERNATIONAL SAVINGS PROVIDER (FRANCE)","FR","CALUIRE (LYON)","38449955590","44995559000046","ISP-04"
"PLANSEE/CIME BOCUZE SAS(EX:CIME BOCUZE)","FR","SAINT PIERRE EN FAUCIGNY","80383966892","38396689200036","CIME50"
"RAZEL-BEC (FR) - BIANCO (FR) - CASTEL & FROMAGET(FR)","FR","ORSAX CEDEX",NA,NA,"GR3S76"
"PAPETERIE BUREAUTIQUE INFORMATIQUE (PBI)","FR","CESSY",NA,"34941292400012","PAPE62"
"AHREND FRANCE","FR","LILLE",NA,NA,"AHRE01"
"ALUFER S.A.","FR","LA ROCHE SUR FORON",NA,NA,"ALUF01"
"A.I.R.L.AGENCEMENT INDUSTRIEL RAYONNAGE LOURD","FR","MEYTHET",NA,NA,"AIRL02"
"DUWIC S.A.S. (EX DUWICQUET)","FR","DUISANS","92746320290",NA,"DUWI01"
"HAULOTTE","FR","MIRIBEL",NA,NA,"HAUL02"
"BRESS DALLAGE","FR","BOURG EN BRESSE",NA,NA,"BRES01"
"AMEC SPIE- CEGELEC","FR","ST GENIS POUILLY",NA,NA,"GR2S50"
"ATELIERS MAITRE EUROPE","FR","LA FORET DU TEMPLE",NA,NA,"MAIT50"
"S.V.T. S.A.","FR","PARIS",NA,NA,"SVT-50"
"GRUTER & MARCHAND","FR","NANTERRE",NA,"59206093300021","GRUT01"
"A.C.G.P. CACI","FR","SASSENAGE",NA,NA,"ACGP01"
"FRANKEL INDUSTRIE","FR","MORANGIS CEDEX","53775703614","77570361400062","FRAN95"
"GRAPHI-TEC","FR","SEYNOD",NA,NA,"GRAP82"
"BACHMANN S.A.","FR","IVRY-SUR-SEINE",NA,NA,"BACH03"
"S.C.I. LE MARAIS (STE CIVILE IMMOBILIERE)","FR","GEX",NA,NA,"SCI-04"
"DUWICQUET","FR","DUISANS","92746320290",NA,"DUWI01"
"HULS","FR","PUTEAUX CEDEX",NA,NA,"HULS01"
"CEFILAC FARGERE INDUSTRIE ""W"" voir CARB62","FR","ST ETIENNE CEDEX",NA,NA,"CEFI63"
"CHARLES BRAMI","FR","BEZONS",NA,NA,"BRAM50"
"MECANINDUS","FR","MONTFORT L AMAURY",NA,NA,"MECA05"
"SOFICAR S.A.","FR","ST MAURICE CEDEX",NA,NA,"SOFI25"
"MCB INDUSTRIE","FR","ARGENTEUIL",NA,"38519784300043","MCB-50"
"LEPSI-LAB. ELEC. ET PHYS. DES SYSTEMES INSTR.","FR","STRASBOURG CEDEX",NA,NA,"LEPS50"
"COFATHEC SERVICES","FR","MEYTHET",NA,NA,"COFA01"
"NICOLITCH SA","FR","EVRY",NA,NA,"NICO75"
"LEPERCQ S.A. LE RUBAN ADHESIF","FR","CHASSIEU CEDEX",NA,NA,"LEPE75"
"CHARLYROBOT","FR","CRUSEILLES",NA,NA,"CHAR38"
"CALEO S.A.","FR","BUC CEDEX",NA,NA,"CALE50"
"VERLINDE","FR","VERNOUILLET CEDEX",NA,NA,"VERL04"
"JALLUT - MSA","FR","ST MARTIN D HERES",NA,NA,"JALL01"
"LEDUC","FR","VAUX-LE-PENIL",NA,NA,"LEDU01"
"ETS FUMET SA","FR","SAINT LAURENT/SAONE",NA,NA,"FUME02"
"LEONI FLEX SA","FR","BURNHAUPT LE HAUT",NA,NA,"LEON04"
"INSTRUTEC SA","FR","MONTIGNY LES CORMEILLES",NA,"35271482800014","INS-03"
"UNIQUE-IMPACT MEMEC ( EX UNIQUE MEMEC)","FR","RUNGIS",NA,NA,"UNIQ04"
"MATELCO","FR","BRON",NA,NA,"MATE11"
"SENSOREX S.A.","FR","ARCHAMPS","25334474111","33447411100021","SENS75"
"POLYDECOUPE FRANCE","FR","RAMBERVILLERS",NA,NA,"POLY16"
"ETS. ROGAY","FR","OYONNAX",NA,NA,"ROGA01"
"SKF EQUIPEMENTS","FR","MONTIGNY LE BRETONNEUX",NA,NA,"SKF-03"
"ARROW ELECTRONIQUE S.A.","FR","SAINT-PRIEST",NA,"72206860800172","ARRO50"
"MECALIM","FR","BRIVE LA GAILLARDE",NA,"40034099800014","MECA35"
"P.T.C. (PRODUCT TRADE CONSEIL)","FR","VAUCRESSON",NA,NA,"PTC-01"
"DATALINER JOHANSSON S.A.","FR","MARNE LA VALLEE CEDEX 3",NA,NA,"DATA48"
"LGB BRICAUD","FR","VILLEURBANNE CEDEX","38973501547",NA,"LGB-01"
"EUROINDUSTRIE","FR","PARIS",NA,NA,"EURO115"
"SHIVA TECHNOLOGIES EUROPE","FR","TOURNEFEUILLE",NA,"40247364900026","SHIV01"
"S.C.T. STE COMMERCIALE TOUTELECTRIC","FR","TOULOUSE CEDEX",NA,NA,"SCT-01"
"INSTITUT DE RECHERCHES SUBATOMIQUES","FR","STRASBOURG CEDEX 2",NA,NA,"INS-02"
"LAM PLAN SA","FR","GAILLARD","7579688014","79688014400020","LAMP50"
"DALMEC SARL","FR","CARRIERES-SUR-SEINE CEDEX",NA,NA,"DALM02"
"SERVOLINE","FR","LYON",NA,NA,"SERV19"
"INSTITUT DE PHYSIQUE NUCLEAIRE DE LYON (IPNL)","FR","VILLEURBANNE CEDEX",NA,NA,"INS-06"
"WIND RIVER SYSTEM EUROPE","FR","LES ULIS CEDEX",NA,NA,"WIND40"
"CLIMBER SERVICE FRANCE","FR","EMAGNY",NA,NA,"CLIM04"
"JENOPTEC SA","FR","JOUY EN JOSAS",NA,NA,"JENO02"
"SERVOLINE *** W=voir JEAM01 ***","FR","LYON",NA,NA,"SERV19"
"POL'AIR FLUIDES SARL","FR","RUMILLY",NA,NA,"POL-01"
"MESATRONIC S.A.","FR","VOIRON",NA,NA,"MESA01"
"SOS INTERNATIONAL","FR","VALLAURIS",NA,NA,"SOS-02"
"FRANC-COMTOISE INDUSTRIE","FR","SAINT-CLOUD",NA,NA,"FRAN34"
"HOLDING LA JACONNIERE","FR","LE FONTANIL",NA,"38086448800016","JACO08"
"SERMATI","FR","SAINT CERE",NA,NA,"SERM06"
"GEODESIE MAINTENANCE SERVICES (GMS)","FR","NORT SUR ERDRE",NA,NA,"GEOD01"
"MADA","FR","EPAGNY",NA,"38272674300018","MADA25"
"SAMTEC FRANCE","FR","MAGNY LE HONGRE",NA,NA,"SAMT01"
"REMT","FR","HEYRIEUX",NA,NA,"REMT01"
"SOCIETE DES USINES QUIRI ET CIE","FR","SCHILTIGHEIM","588 502 906","58850290600013","QUIR50"
"ARDELEC TECHNOLOGIES","FR","SAINT AGREVE",NA,"38497955500016","ARDE02"
"VARDAS SERGE","FR","SAINT-CYR/MENTHON",NA,"34375326500028","VARD01"
"AZENN","FR","MONTAUBAN DE BRETAGNE",NA,"38920514700017","AZEN01"
"SPECTRUM CONTROL","FR","VELIZY",NA,NA,"SPEC22"
"MATELECO RHONE ALPES","FR","SEYSSINET PARISET CEDEX",NA,NA,"MATE75"
"ALFA LAVAL SNC","FR","LES CLAYES SOUS BOIS",NA,NA,"ALS-01"
"HARDTECH","FR","CLARET",NA,"32484524700018","HARD04"
"EUROCOMPOSANT","FR","VOISINS LE BRETONNEUX","84351874896","35187489600035","EURO44"
"OPTILAS SA","FR","EVRY CEDEX",NA,NA,"OPTI56"
"METACERAM","FR","PEYNIER",NA,"41933220000031","META06"
"KOBOLD SARL","FR","CERGY PONTOISE CEDEX",NA,NA,"KOBO56"
"ABELEC","FR","ST GENIS POUILLY",NA,NA,"ABEL01"
"MORGAN MATROC SA","FR","BARENTIN",NA,NA,"MORG15"
"FINEQ SA","FR","LYON",NA,NA,"FINE75"
"ENSIVAL","FR","TOURS CEDEX 2",NA,"33414876400023","ENSI25"
"MIDEC","FR","ANNEMASSE",NA,NA,"MIDE50"
"MOTEURS LEROY SOMER","FR","ANGOULEME CEDEX",NA,NA,"LERO63"
"BERGOZ","FR","ST GENIS POUILLY",NA,"41499713000029","BERG87"
"CEGELEC MOBILITY (FR) - CEGELEC (ES)","FR","MIRIBEL",NA,NA,"GR2T77"
"CEGELEC FRANCE - CEGELEC SPAIN (MADRID) CONSORTIUM","FR","MIRIBEL",NA,NA,"GR2T77"
"CEGELEC (FR) - CEGELEC (ES)","FR","MIRIBEL",NA,NA,"GR2T77"
"MGT TECH SAS(EX:ROGER COLIN S.A.S)","FR","SAINT-CLAUDE",NA,NA,"RCS-03"
"DSPACE SARL","FR","BIEVRES CEDEX","70437986706",NA,"DSPA01"
"SAINT GOBAIN SOLCERA ***MERGED - SEE COOR05***","FR","EVREUX CEDEX",NA,NA,"DESM25"
"AVNET (AVNET - SILICA - ABACUS) - FRANCE","FR","MASSY CEDEX",NA,"55207601000362","AVNE50"
"SGCI - SOCIETE GENERALE DE CIRCUITS IMPRIMES (CIRE GROUP)","FR","BELLEGARDE",NA,"41290477300048","GROU11"
"MAT FROID","FR","OYONNAX",NA,NA,"MAT-04"
"SIGMAPHI","FR","VANNES",NA,"79018371900034","SIGM50"
"AET - APPLICATIONS ELECTRONIQUES ET TECHNIQUES","FR","JURANCON",NA,"34009525600020","AET-50"
"TAP","FR","PLAISIR",NA,"49378709700010","TAP-01"
"TOURRAINE EMBALLAGE RECYCLAGE SA","FR","LA RICHE",NA,"39163091000019","TER-02"
"RUBIS-PRECIS S.A.","FR","CHARQUEMONT","41321735656","32173565600019","RUBI65"
"OPAL-RT EUROPE (FRANCE)","FR","SCEAUX",NA,NA,"EUR225"
"FAMY","FR","CHATILLON-MICHAILLE",NA,"76420021800015","FAMY50"
"SOVICAM","FR","LA VALBONNE",NA,"41806248500010","SOVI04"
"ASSYSTEM FRANCE","FR","SAINT GENIS POUILLY",NA,"44415916400151","ASI-01"
"ASSYSTEM FRANCE - SAPHYMO GMBH (JOINT VENTURE)","FR","ST QUENTIN EN YVELINES CEDEX",NA,NA,"GR2T40"
"ASSYSTEM FACILITIES - SAPHYMO GMBH","FR","ST QUENTIN EN YVELINES CEDEX",NA,NA,"GR2T40"
"COFICIEL BUNGALOWS","FR","LA BIOLLE",NA,"40393229600045","COFI05"
"ADM 21/MOXA FRANCE","FR","COLOMBES",NA,"41773697200031","AMF-02"
"KEP FRANCE SAS","FR","AYTRE",NA,"38976209700043","KEPF01"
"ISMA","FR","FORBACH",NA,"39294542400027","ISMA01"
"PANTECHNIK S.A.","FR","BAYEUX",NA,"38355698200049","PANT30"
"IPM FRANCE SARL","FR","NICE","34 524 15227","524 152 279 00021","IPM-02"
"COPEX INTERNATIONAL","FR","PARIS",NA,"39828874600041","INT157"
"DAHER GROUPE","FR","WISSOUS CEDEX",NA,"59702084100776","DAHE03"
"VISIOM","FR","ANTHONY",NA,"41324946700015","VISI23"
"ANDRA - AGENCE NATIONALE GESTION DECHETS RADIOACTIFS","FR","MORVILLIERS",NA,"39019966900081","ANDR01"
"RIBA","FR","ROSIERES",NA,"31851725700032","BALA55"
"CANBERRA (FRANCE)","FR","ST QUENTIN YVELINES CEDEX",NA,"38444977300140","CANB02"
"NCT","FR","FERRIERES EN BRIE",NA,"57209812700036","NCT-01"
